Time,ch1
0.00,145
0.10,145
0.20,144
0.30,145
0.40,143
0.50,139
0.60,140
0.70,140
0.80,135
0.91,130
1.01,116
1.11,95
1.21,79
1.31,67
1.41,59
1.51,52
1.61,41
1.71,35
1.81,32
1.91,29
2.01,25
2.11,23
2.21,22
2.31,20
2.41,20
2.51,20
2.61,20
2.71,20
2.82,20
2.92,21
3.02,21
3.12,22
3.22,20
3.32,20
3.42,20
3.52,20
3.62,20
3.72,21
3.82,23
3.92,26
4.02,32
4.12,40
4.22,51
4.32,72
4.42,124
4.52,166
4.63,219
4.73,263
4.83,260
4.93,285
5.03,334
5.13,337
5.23,297
5.33,264
5.43,269
5.53,200
5.63,160
5.73,133
5.83,77
5.93,47
6.03,39
6.13,33
6.23,31
6.33,29
6.44,28
6.54,28
6.64,30
6.74,28
6.84,28
6.94,29
7.04,30
7.14,30
7.24,34
7.34,39
7.44,49
7.54,79
7.64,122
7.74,180
7.84,247
7.94,249
8.04,284
8.14,291
8.24,311
8.35,179
8.45,65
8.55,36
8.65,27
8.75,22
8.85,20
8.95,19
9.05,19
9.15,19
9.25,17
9.35,18
9.45,19
9.55,19
9.65,20
9.75,19
9.85,19
9.95,20
10.05,21
10.16,30
10.26,35
10.36,45
10.46,81
10.56,158
10.66,222
10.76,299
10.86,362
10.96,374
11.06,409
11.16,460
11.26,597
11.36,821
11.46,605
11.56,630
11.66,723
11.76,732
11.87,684
11.97,681
12.07,661
12.17,630
12.27,601
12.37,675
12.47,677
12.57,707
12.67,699
12.77,622
12.87,600
12.97,609
13.07,605
13.17,586
13.27,578
13.37,576
13.48,598
13.58,593
13.68,377
13.78,375
13.88,386
13.98,357
14.08,376
14.18,387
14.28,434
14.38,428
14.48,453
14.58,493
14.68,644
14.78,1022
14.88,1023
14.98,1023
15.09,1023
15.19,1023
15.29,678
15.39,668
15.49,673
15.59,1023
15.69,705
15.79,179
15.89,61
15.99,39
16.09,28
16.19,22
16.29,19
16.39,19
16.49,18
16.59,19
16.70,18
16.80,18
16.90,18
17.00,18
17.10,18
17.20,19
17.30,22
17.40,25
17.50,31
17.60,40
17.70,77
17.80,205
17.90,341
18.00,352
18.10,509
18.20,510
18.30,460
18.41,668
18.51,802
18.61,612
18.71,142
18.81,49
18.91,36
19.01,25
19.11,22
19.21,20
19.31,18
19.41,19
19.51,18
19.61,18
19.71,19
19.81,19
19.91,19
20.01,23
20.12,28
20.22,40
20.32,66
20.42,197
20.52,347
20.62,429
20.72,434
20.82,490
20.92,553
21.02,595
21.12,774
21.22,808
21.32,777
21.42,802
21.52,763
21.62,688
21.72,682
21.83,679
21.93,686
22.03,688
22.13,685
22.23,684
22.33,683
22.43,682
22.53,683
22.63,683
22.73,684
22.83,684
22.93,677
23.03,677
23.13,655
23.23,653
23.33,648
23.44,648
23.54,646
23.64,648
23.74,647
23.84,647
23.94,646
24.04,646
24.14,644
24.24,642
24.34,641
24.44,640
24.54,639
24.64,637
24.74,636
24.84,637
24.94,636
25.05,637
25.15,637
25.25,635
25.35,634
25.45,636
25.55,635
25.65,637
25.75,635
25.85,636
25.95,637
26.05,633
26.15,633
26.25,662
26.35,474
26.45,402
26.55,389
