Time,Thumb,Index,Middle,Ring,Pinky,Roll,Pitch,Yaw,Ax,Ay,Az
0.1,276.25,357.86,759.74,541.65,486.12,156.54,11.25,184.44,0.91,0.05,0.80
0.2,461.81,960.37,367.53,745.58,644.86,178.87,114.61,29.26,0.39,0.75,0.50
0.3,733.82,550.81,755.32,400.85,258.20,23.09,137.26,93.21,0.21,0.09,0.91
0.4,298.33,805.07,949.40,357.68,245.74,115.76,135.86,98.91,0.13,0.23,0.40
0.5,280.70,578.35,834.53,59.07,883.06,57.82,106.62,2.54,0.53,0.48,0.52
0.6,9.97,69.14,321.47,805.90,287.50,93.85,49.17,177.43,0.80,0.69,0.47
0.7,352.15,40.04,125.23,355.50,349.76,114.23,77.24,132.64,0.83,0.55,0.00
0.8,382.52,179.82,837.58,762.67,162.51,49.17,30.78,131.19,0.02,0.83,0.79
0.9,23.81,554.06,996.50,419.88,651.78,130.63,82.08,63.49,0.96,0.24,0.04
1,233.42,501.83,858.51,180.32,573.59,161.47,56.58,13.94,0.27,0.99,0.15
1.1,547.57,324.85,51.44,718.57,222.79,141.78,124.13,169.09,0.01,0.77,0.84
1.2,726.80,904.33,363.54,346.42,729.01,11.14,68.49,86.35,0.73,0.96,0.53
1.3,774.91,585.10,172.75,635.75,599.69,4.69,17.67,105.57,0.44,0.71,0.69
1.4,689.25,338.47,231.11,858.48,832.27,195.07,153.27,31.31,0.97,0.60,0.01
1.5,671.71,210.64,93.92,152.86,725.52,108.04,95.34,165.31,0.15,0.49,0.52
1.6,436.75,359.12,790.81,594.39,610.29,194.94,96.21,183.87,0.65,0.25,0.98
1.7,252.93,768.43,486.52,701.23,507.92,59.64,11.62,72.00,0.13,0.84,0.29
1.8,865.18,51.72,694.34,1017.88,684.05,46.06,152.11,17.62,0.61,0.90,0.06
1.9,366.53,201.64,217.74,272.48,863.68,105.36,89.23,0.84,0.81,0.24,0.67
2,537.68,294.45,409.44,971.38,908.98,178.48,108.72,19.35,0.70,0.87,0.46
2.1,476.24,255.14,722.87,863.11,638.55,10.63,168.62,30.67,0.17,0.84,0.53
2.2,274.29,340.95,336.81,692.84,919.82,19.54,49.29,66.78,0.28,0.71,0.44
2.3,132.21,429.32,609.98,998.51,638.82,62.02,193.28,24.12,0.86,0.62,0.92
2.4,841.72,1008.18,946.63,883.71,598.03,50.39,87.33,147.10,0.02,0.70,0.20
2.5,1019.51,801.37,730.36,659.09,460.46,37.17,171.76,86.50,0.20,0.13,0.83
2.6,421.74,729.34,413.99,499.83,677.91,105.28,126.91,26.17,0.98,0.03,0.32
2.7,818.13,529.88,529.68,322.63,983.26,7.43,40.44,159.06,0.04,0.07,0.17
2.8,328.81,91.21,70.28,956.00,571.39,164.88,162.62,125.94,0.62,0.07,0.32
2.9,555.03,679.98,439.08,480.92,1008.55,126.84,69.68,186.47,0.92,0.87,0.29
