Time,Thumb,Index,Middle,Ring,Pinky,Roll,Pitch,Yaw
0.10,483.35,489.38,784.14,612.56,213.64,45.88,66.95,11.01
0.20,648.27,131.20,720.65,181.81,339.56,32.68,26.00,5.35
0.30,199.87,742.87,50.70,231.67,931.93,67.35,80.43,75.19
0.40,372.89,328.72,38.72,715.47,80.09,41.77,27.15,21.28
0.50,1004.67,956.76,817.67,61.59,384.84,49.11,58.52,77.71
0.60,667.84,188.26,740.73,877.06,197.62,74.94,28.74,77.56
0.70,236.48,735.53,301.16,538.47,741.47,58.20,20.12,8.99
0.80,865.23,917.58,104.26,1011.39,785.55,59.51,31.43,76.93
0.90,298.12,598.55,636.30,326.83,993.27,3.22,57.51,7.82
1.00,81.51,103.39,473.08,71.67,471.05,21.75,75.48,0.20
1.10,947.53,806.24,141.44,792.30,737.91,46.93,26.99,65.46
1.20,708.27,919.17,445.16,124.76,16.18,44.92,65.91,59.58
1.30,223.89,667.53,897.54,114.77,630.06,30.06,5.15,4.98
1.40,562.88,584.05,1002.80,525.41,527.42,23.53,48.36,67.88
1.50,345.57,392.70,465.43,978.11,501.75,48.15,12.76,37.91
1.60,440.36,746.65,790.00,326.67,816.45,37.23,31.29,82.02
1.70,354.78,998.12,191.27,510.00,673.37,23.81,14.54,23.41
1.80,289.48,446.22,763.60,254.69,760.87,39.17,89.77,24.72
1.90,974.17,844.58,586.42,993.95,785.47,63.59,7.34,54.04
2.00,865.09,144.76,756.15,651.29,980.44,38.88,61.88,26.97
2.10,105.30,695.70,597.77,611.77,500.93,63.24,45.19,3.06
2.20,268.75,851.85,674.88,993.79,868.68,6.53,62.76,65.65
2.30,786.01,196.71,407.32,742.16,107.98,27.07,37.49,68.17
2.40,469.68,426.83,249.86,914.09,544.74,88.34,34.56,67.59
2.50,53.38,710.40,127.03,243.51,689.05,14.12,84.14,74.38
2.60,536.41,558.93,756.69,69.04,397.10,17.11,12.17,6.07
2.70,281.41,324.32,349.64,781.47,270.61,58.56,59.07,6.48
2.80,62.58,827.30,524.36,961.15,148.98,47.01,36.44,89.58
2.90,485.05,751.65,906.78,424.94,222.80,16.93,51.91,40.55
2.90,753.58,581.38,574.10,870.39,9.41,2.49,34.63,63.78
2.90,307.17,49.57,625.96,398.06,52.33,35.58,66.56,43.38
2.90,350.88,919.76,815.53,30.12,687.40,19.48,26.12,74.08
2.90,911.38,443.66,939.36,389.23,656.89,46.88,50.05,89.54
2.90,840.11,783.92,155.49,552.28,911.11,29.05,1.37,72.08
2.90,509.47,585.95,702.29,428.30,344.40,19.57,53.61,55.86
2.90,545.73,219.85,536.57,716.47,182.78,63.10,0.16,21.21
2.90,468.08,768.73,143.03,994.12,464.88,11.86,10.38,34.09
2.90,803.60,185.62,127.65,883.70,799.25,75.13,29.09,22.04
2.90,199.81,128.73,752.46,412.22,167.95,14.75,6.85,57.83
2.90,222.40,203.51,266.95,840.49,425.96,4.24,5.73,63.77
2.90,31.96,683.21,895.83,563.95,278.46,38.62,42.93,64.81
2.90,302.76,722.48,279.44,681.68,884.10,52.09,23.02,34.80
2.90,432.85,886.90,350.66,169.83,179.06,49.40,53.42,88.44
2.90,193.10,621.23,433.83,432.78,780.25,13.71,60.45,39.27
2.90,300.14,435.68,480.00,534.07,106.68,79.26,80.80,70.64
2.90,790.84,821.71,741.87,524.84,397.56,76.27,20.87,11.93
2.90,225.69,36.12,130.41,1015.80,68.22,22.76,69.10,46.82
2.90,281.40,511.76,106.26,509.90,591.46,12.97,32.93,66.73
